team,player,x,y,shot_statsbomb_xg,is_goal,on_target
Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena,116.1,35.1,0.24569963,False,True
Cameroon,Jean-Eric Maxim Choupo-Moting,119.2,47.9,0.0123953605,False,True
Cameroon,André-Frank Zambo Anguissa,107.5,44.3,0.046351306,False,True
Switzerland,Ruben Vargas,107.5,41.8,0.1977995,False,True
Switzerland,Granit Xhaka,96.2,37.3,0.048882935,False,True
Switzerland,Haris Seferović,108.0,45.8,0.27028984,False,False
Portugal,Otávio Edmilson da Silva Monteiro,96.6,34.3,0.02513017,False,False
Portugal,Rúben Diogo Da Silva Neves,98.1,36.6,0.07171052,False,False
Portugal,Cristiano Ronaldo dos Santos Aveiro,107.7,39.2,0.4577736,False,True
Portugal,Cristiano Ronaldo dos Santos Aveiro,116.3,43.7,0.2074416,False,False
Portugal,João Félix Sequeira,104.2,35.6,0.07848694,False,False
Portugal,Otávio Edmilson da Silva Monteiro,99.9,32.5,0.045895047,False,True
Portugal,Cristiano Ronaldo dos Santos Aveiro,110.0,25.1,0.030432492,False,False
Ghana,Alidu Seidu,88.8,44.2,0.015372672,False,False
Ghana,Mohammed Kudus,92.9,31.0,0.030134441,False,False
Portugal,Cristiano Ronaldo dos Santos Aveiro,108.1,40.1,0.7835,True,True
Ghana,Iñaki Williams Arthuer,91.1,47.3,0.020453067,False,False
Ghana,Thomas Teye Partey,92.4,52.5,0.021057075,False,False
Ghana,Mohammed Kudus,90.8,34.5,0.02159481,False,True
Ghana,André Ayew Pelé,115.6,39.8,0.48524466,True,True
Portugal,João Félix Sequeira,107.5,52.6,0.21504128,True,True
Portugal,Rafael Alexandre Conceição Leão,111.7,28.3,0.15539157,True,True
Ghana,Osman Bukari,113.5,40.2,0.15547352,True,True
Ghana,Mohamed Salisu,106.9,30.6,0.02431712,False,False
Portugal,Rafael Alexandre Conceição Leão,95.5,29.9,0.026070174,False,False
Ghana,Osman Bukari,103.3,12.6,0.0063759447,False,False
Senegal,Boulaye Dia,107.0,27.1,0.034865376,False,False
Netherlands,Vincent Janssen,103.2,34.3,0.12169348,False,False
