player,team,Goals,xG,Shots_On_Target,Total_Passes,Completed_Passes,Key_Passes,Defensive_Actions,Saves
Damián Emiliano Martínez,Argentina,0.0,0.0,0.0,186.0,123.0,0.0,31.0,10.0
Daniel Alonso Chacón Salas,Costa Rica,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Daniel Alves da Silva,Brazil,0.0,0.120014081,0.0,99.0,88.0,0.0,10.0,0.0
Daniel Amartey,Ghana,0.0,0.0,0.0,140.0,129.0,3.0,33.0,0.0
Daniel Carvajal Ramos,Spain,0.0,0.0,0.0,135.0,122.0,0.0,11.0,0.0
Daniel James,Wales,0.0,0.0,0.0,34.0,23.0,1.0,7.0,0.0
Daniel Olmo Carvajal,Spain,1.0,1.0841161047,6.0,196.0,160.0,4.0,32.0,0.0
Daniel Ward,Wales,0.0,0.0,0.0,39.0,24.0,0.0,3.0,4.0
Daniel-Kofi Kyereh,Ghana,0.0,0.0,0.0,24.0,18.0,0.0,6.0,0.0
Danilo Luiz da Silva,Brazil,0.0,0.0323683795,0.0,267.0,232.0,0.0,22.0,0.0
Danilo Luís Hélio Pereira,Portugal,0.0,0.0,0.0,80.0,72.0,0.0,11.0,0.0
Darko Lazović,Serbia,0.0,0.018288644,0.0,11.0,7.0,0.0,1.0,0.0
Darwin Gabriel Núñez Ribeiro,Uruguay,0.0,0.21691335099999998,1.0,54.0,36.0,1.0,15.0,0.0
David Junior Hoilett,Canada,0.0,0.11914880800000001,0.0,55.0,40.0,4.0,14.0,0.0
David Raum,Germany,0.0,0.0,0.0,193.0,151.0,8.0,33.0,0.0
David Wallace Wotherspoon,Canada,0.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0
Davy Klaassen,Netherlands,1.0,0.43179539,1.0,81.0,60.0,3.0,10.0,0.0
Dayotchanculle Upamecano,France,0.0,0.0,0.0,345.0,305.0,1.0,58.0,0.0
DeAndre Yedlin,United States,0.0,0.0,0.0,30.0,20.0,0.0,2.0,0.0
Declan Rice,England,0.0,0.0,0.0,327.0,306.0,1.0,41.0,0.0
Dejan Lovren,Croatia,0.0,0.381529793,0.0,454.0,407.0,1.0,62.0,0.0
Denis Lemi Zakaria Lako Lado,Switzerland,0.0,0.04188712,0.0,22.0,19.0,0.0,10.0,0.0
Denis Odoi,Ghana,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0
Denzel Dumfries,Netherlands,1.0,0.283319202,1.0,218.0,148.0,2.0,35.0,0.0
Devis Rogers Epassy Mboka,Cameroon,0.0,0.0,0.0,84.0,56.0,0.0,13.0,10.0
Diego Nicolás De La Cruz Arcosa,Uruguay,0.0,0.0429242,1.0,24.0,20.0,0.0,3.0,0.0
Diego Roberto Godín Leal,Uruguay,0.0,0.054689027,0.0,98.0,85.0,0.0,18.0,0.0
Diogo Meireles Costa,Portugal,0.0,0.0,0.0,159.0,111.0,1.0,16.0,12.0
Djibril Sow,Switzerland,0.0,0.150380136,0.0,97.0,88.0,3.0,16.0,0.0
Djorkaeff Neicer Reasco González,Ecuador,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0
Dominik Livaković,Croatia,0.0,0.0,0.0,228.0,189.0,0.0,33.0,30.0
Dries Mertens,Belgium,0.0,0.367153732,1.0,36.0,24.0,3.0,0.0,0.0
Dušan Tadić,Serbia,0.0,0.061684445,0.0,125.0,88.0,9.0,17.0,0.0
Dušan Vlahović,Serbia,1.0,0.7624475099999999,3.0,13.0,7.0,0.0,5.0,0.0
Dylan Daniel Mahmoud Bronn,Tunisia,0.0,0.059058707,0.0,95.0,71.0,0.0,14.0,0.0
Eden Hazard,Belgium,0.0,0.009158539,1.0,59.0,46.0,1.0,14.0,0.0
Ederson Santana de Moraes,Brazil,0.0,0.0,0.0,30.0,28.0,0.0,10.0,2.0
Edimilson Fernandes,Switzerland,0.0,0.029247057,0.0,81.0,66.0,3.0,18.0,0.0
Edinson Roberto Cavani Gómez,Uruguay,0.0,0.17895877999999998,0.0,39.0,29.0,4.0,5.0,0.0
Edouard Mendy,Senegal,0.0,0.0,0.0,117.0,90.0,0.0,17.0,7.0
Edson Omar Álvarez Velázquez,Mexico,0.0,0.013687578,1.0,109.0,85.0,1.0,24.0,0.0
Eduardo Camavinga,France,0.0,0.0,0.0,103.0,91.0,2.0,28.0,0.0
Ehsan Hajsafi,Iran,0.0,0.068153165,0.0,99.0,64.0,2.0,16.0,0.0
Ellyes Joris Skhiri,Tunisia,0.0,0.10099208700000001,0.0,128.0,109.0,2.0,39.0,0.0
Enner Remberto Valencia Lastra,Ecuador,3.0,1.924592276,4.0,51.0,39.0,3.0,23.0,0.0
Enzo Ebosse,Cameroon,0.0,0.0,0.0,39.0,34.0,0.0,7.0,0.0
Enzo Fernandez,Argentina,1.0,1.050628615,3.0,470.0,416.0,6.0,56.0,0.0
Eray Ervin Cömert,Switzerland,0.0,0.0,0.0,41.0,37.0,0.0,8.0,0.0
Eric Dier,England,0.0,0.0,0.0,42.0,40.0,0.0,4.0,0.0
Ernesto Alexis Vega Rojas,Mexico,0.0,0.6920090567,2.0,54.0,38.0,1.0,21.0,0.0
Ethan Ampadu,Wales,0.0,0.013776194,0.0,144.0,110.0,2.0,37.0,0.0
Exequiel Alejandro Palacios,Argentina,0.0,0.046685893,0.0,28.0,24.0,1.0,8.0,0.0
Fabian Frei,Switzerland,0.0,0.0,0.0,13.0,9.0,0.0,3.0,0.0
Fabian Lukas Schär,Switzerland,0.0,0.103672833,0.0,80.0,64.0,0.0,20.0,0.0
Fabian Rieder,Switzerland,0.0,0.0,0.0,27.0,14.0,1.0,6.0,0.0
Facundo Pellistri Rebollo,Uruguay,0.0,0.099497445,0.0,45.0,35.0,3.0,12.0,0.0
