player,team,Goals,xG,Total_Passes,Successful_Passes
Gregor Kobel,Switzerland,0.0,0.0,29.0,19.0
Grzegorz Krychowiak,Poland,0.0,0.02170277,127.0,97.0
Gue-Sung Cho,South Korea,2.0,0.71258904,60.0,39.0
Guido Rodríguez,Argentina,0.0,0.0,62.0,54.0
Guillermo Varela Olivera,Uruguay,0.0,0.0,91.0,62.0
Haitham Mohammed Asiri,Saudi Arabia,0.0,0.0,2.0,1.0
Haji Wright,United States,1.0,0.658172932,27.0,20.0
Hakim Ziyech,Morocco,2.0,1.095816526,300.0,210.0
Hannibal Mejbri,Tunisia,0.0,0.0,2.0,2.0
Haris Seferović,Switzerland,0.0,0.27028984,14.0,10.0
Harry Kane,England,2.0,2.330979943,97.0,64.0
Harry Maguire,England,0.0,0.489955663,408.0,353.0
Harry Souttar,Australia,0.0,0.06809473,163.0,135.0
Harry Wilson,Wales,0.0,0.061493684,62.0,48.0
Hassan Khalid Al Heidos,Qatar,0.0,0.015712837,77.0,63.0
Hassan Mohammed Al-Tambakti,Saudi Arabia,0.0,0.0,49.0,37.0
Hattan Babhir,Saudi Arabia,0.0,0.0,5.0,3.0
Hee-Chan Hwang,South Korea,1.0,0.5679465854,57.0,46.0
Henry Josué Martín Mex,Mexico,1.0,0.6686734,22.0,15.0
Hernán Ismael Galíndez,Ecuador,0.0,0.0,77.0,44.0
Heung-Min Son,South Korea,0.0,0.453828075,122.0,84.0
Hidemasa Morita,Japan,0.0,0.190594476,161.0,128.0
Hiroki Ito,Japan,0.0,0.0,63.0,58.0
Hiroki Sakai,Japan,0.0,0.28772855,46.0,31.0
Hirving Rodrigo Lozano Bahena,Mexico,0.0,0.24040568040000002,74.0,41.0
Homam Alamin Ahmed,Qatar,0.0,0.0,103.0,77.0
Hugo Lloris,France,0.0,0.0,182.0,111.0
Héctor Alfredo Moreno Herrera,Mexico,0.0,0.1766503,191.0,166.0
Héctor Miguel Herrera López,Mexico,0.0,0.0,75.0,63.0
Ibrahima Konaté,France,0.0,0.17601235,228.0,209.0
Idrissa Gana Gueye,Senegal,0.0,0.332398158,131.0,106.0
Ikoma Loïs Openda,Belgium,0.0,0.0,5.0,3.0
Ilias Chair,Morocco,0.0,0.0,15.0,13.0
Iliman Ndiaye,Senegal,0.0,0.07411676,35.0,28.0
In-Beom Hwang,South Korea,0.0,0.197748277,247.0,199.0
Ismaeel Mohammad Mohammad,Qatar,0.0,0.35790671,67.0,53.0
